Month,Count
29.02.2016,24.947500361261216
01.03.2016,26.74454569929796
02.03.2016,11.336915126934558
03.03.2016,7.366368363444512
04.03.2016,6.604482411049436
06.03.2016,6.837420856007005
07.03.2016,4.879845803312796
08.03.2016,6.29698879385374
11.03.2016,8.013689084211068
12.03.2016,6.572154817597836
14.03.2016,35.524119806943524
20.03.2016,14.099711083106113
22.03.2016,16.90827493206563
23.03.2016,8.562849476056446
24.03.2016,8.920946947462348
27.03.2016,11.586277333591863
28.03.2016,13.532190033491363
29.03.2016,13.124676475815944
31.03.2016,7.824409912961615
01.04.2016,8.493015404995012
02.04.2016,6.241705066245677
08.04.2016,8.289841649282412
09.04.2016,13.18624653951515
10.04.2016,10.445269467934144
11.04.2016,6.7113696880575535
12.04.2016,9.450191018795136
15.04.2016,10.874509078677935
17.04.2016,10.385047771590692
18.04.2016,6.187452170355976
19.04.2016,7.089081269929366
22.04.2016,10.782288506889987
24.04.2016,14.095140352088674
25.04.2016,30.763039641786794
26.04.2016,57.33132821403599
29.04.2016,28.408709312745387
03.05.2016,13.33615431251553
07.05.2016,6.572830963365433
08.05.2016,11.662930342120983
09.05.2016,5.603108642035898
17.05.2016,23.18195071270764
19.05.2016,9.357586159832053
20.05.2016,8.98294616543399
23.05.2016,3.8417684432338253
24.05.2016,4.615053433594319
25.05.2016,8.652656929175453
26.05.2016,4.650762752735408
30.05.2016,5.899760946243163
31.05.2016,4.679710139553395
01.06.2016,11.126952766916597
02.06.2016,7.365557174540124
03.06.2016,7.727550676977243
04.06.2016,6.809575474560304
05.06.2016,5.715544659511262
06.06.2016,7.099750937963732
07.06.2016,19.592143831659488
12.06.2016,8.009739373001706
13.06.2016,5.826030550912562
16.06.2016,30.485013946957825
17.06.2016,19.109558900004583
19.06.2016,18.711316983005876
20.06.2016,19.82810893006774
21.06.2016,9.913563686928853
23.06.2016,14.85263542926777
24.06.2016,30.16322303842696
27.06.2016,11.406060074214563
28.06.2016,17.965495310161575
29.06.2016,30.901742275751356
30.06.2016,24.38968580014218
01.07.2016,24.37850682178344
02.07.2016,14.032170256325536
08.07.2016,81.81887906576853
10.07.2016,20.69824965842574
11.07.2016,22.980025072398885
12.07.2016,15.588251361185613
14.07.2016,26.09794790107708
18.07.2016,6.2814934903036646
19.07.2016,12.201075390109423
20.07.2016,8.829155266455274
21.07.2016,8.131878060060417
22.07.2016,7.77711801356777
27.07.2016,5.840981458133215
31.07.2016,17.207783317098293
01.08.2016,37.46892882138011
02.08.2016,21.782795694145772
04.08.2016,15.858753729897177
18.08.2016,5.274705973765168
22.08.2016,14.004431949870115
23.08.2016,14.110286514365718
14.09.2016,5.984416663460781
15.09.2016,5.14571865938719
16.09.2016,5.5747628249255925
17.09.2016,7.084493657085184
18.09.2016,9.672578920010224
19.09.2016,8.65845896878104
21.09.2016,5.4472951914266705
22.09.2016,6.823155696960203
23.09.2016,18.412560439536005
29.09.2016,20.14783543273303
30.09.2016,11.196380732449029
01.10.2016,11.271836338962467
02.10.2016,9.260394220579451
03.10.2016,18.405497142485423
04.10.2016,31.934233104824735
06.10.2016,9.477060869169632
09.10.2016,16.03359382349335
10.10.2016,10.917768894614472
11.10.2016,20.225091182552582
12.10.2016,19.095532117868704
13.10.2016,21.647107235721126
14.10.2016,16.283964187247445
15.10.2016,17.498938276507076
16.10.2016,13.807065664160802
02.11.2016,49.5130955904267
03.11.2016,30.30891019429366
11.11.2016,23.44582923940557
12.11.2016,27.201570382665057
13.11.2016,33.85858379718052
14.11.2016,23.49248666613399
15.11.2016,23.032965689648613
17.11.2016,24.222758738206554
18.11.2016,34.38904863398463
19.11.2016,51.19479595257993
20.11.2016,41.65445453071955
21.11.2016,50.89472349381988
22.11.2016,39.134360685339495
23.11.2016,58.57898007264378
24.11.2016,45.34158365629419
25.11.2016,39.51331991045647
29.11.2016,23.997477128911633
30.11.2016,27.655247645864684
01.12.2016,25.74614211719174
02.12.2016,38.0033438707092
03.12.2016,27.549156048408857
04.12.2016,27.322332765156908
12.12.2016,43.18388433407808
14.12.2016,27.11836232297169
15.12.2016,33.101360174365325
16.12.2016,29.37157476916772
17.12.2016,24.969109860774
22.12.2016,29.60359646476029
23.12.2016,34.05811365675598
24.12.2016,49.98665514845907
25.12.2016,78.21933843853965
26.12.2016,47.43215885055195
01.01.2017,103.34215413432185
02.01.2017,87.40521287520019
03.01.2017,76.36169545008062
10.01.2017,34.5849652741819
11.01.2017,34.60866667241374
12.01.2017,30.848358040862493
13.01.2017,29.531369549606225
14.01.2017,24.160547194939635
15.01.2017,26.560583947429013
16.01.2017,28.5018326133521
17.01.2017,31.4092817144161
18.01.2017,39.26673368008174
19.01.2017,34.84795206420052
20.01.2017,25.03961796242384
21.01.2017,30.796712222679638
22.01.2017,22.01146684390181
23.01.2017,23.106718616421457
24.01.2017,27.434954796621334
25.01.2017,29.084349789837614
26.01.2017,47.498140949831196
27.01.2017,40.09150937535205
29.01.2017,23.033735948669335
30.01.2017,24.076167126912505
31.01.2017,29.37519249361303
01.02.2017,21.797177949880957
02.02.2017,18.354409956235106
03.02.2017,17.124522915899504
05.02.2017,20.35573230969555
06.02.2017,18.390621910744997
07.02.2017,22.72196335985475
08.02.2017,19.32688442769423
09.02.2017,19.142995786346933
10.02.2017,18.791136739096572
11.02.2017,20.408601799582804
12.02.2017,18.533698334572485
13.02.2017,21.243392311872288
14.02.2017,23.903985050264424
15.02.2017,25.001728493117216
16.02.2017,21.870744718634036
17.02.2017,19.841523218472062
18.02.2017,19.44919409676582
19.02.2017,17.46032323585427
